step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	4.160641108235524e-05	-	-	66	z
0.003	3.742999241301836e-06	11.12	11.11	66	z
0.001	4.158732961820344e-07	9.00	9.00	66	z
0.0003	3.742972340403661e-08	11.11	11.11	66	z
0.0001	4.159299953065965e-09	9.00	9.00	66	z
3e-05	3.813960397502925e-10	10.91	11.11	66	z
1e-05	6.86832188345754e-11	5.55	9.00	66	z
3e-06	1.525717457917779e-10	0.45	11.11	68	y
1e-06	5.060193097872201e-10	0.30	9.00	98	x
3e-07	1.728821566807093e-09	0.29	11.11	97	y
